Eiendom,Spotprisår,Kostnad for vannbåren varme (kr),Kilde vannbåren varme,Kilde andre kostnader,Beregningstid (år),Diskonteringsrente (%),Nåverdi bergvarme (kr),Nåverdi luft-luft-varmepumpe (kr),Differanse (kr),Forklaring
Markalleen 26B,2023,76500,Sweco,Sweco,30,4,257176,222134,35042,Bergvarme er lønnsom
Markalleen 26B,2023,76500,Sweco,Sweco,30,4,257176,222134,35042,Bergvarme er lønnsom
Markalleen 26B,2023,76500,Sweco,Sweco,40,4,342198,262039,80159,Bergvarme er lønnsom
Markalleen 26B,2023,76500,Sweco,Sweco,40,4,342198,262039,80159,Bergvarme er lønnsom
Markalleen 26B,2023,76500,Sweco,Sweco,50,4,387961,297025,90936,Bergvarme er lønnsom
Markalleen 26B,2023,76500,Sweco,Sweco,50,4,387961,297025,90936,Bergvarme er lønnsom
Markalleen 26B,2023,76500,Sweco,Sweco,60,4,426764,323763,103001,Bergvarme er lønnsom
Markalleen 26B,2023,76500,Sweco,Sweco,60,4,426764,323763,103001,Bergvarme er lønnsom
Markalleen 26B,2023,76500,Sweco,Sweco,30,5,201464,182964,18500,Bergvarme er lønnsom
Markalleen 26B,2023,76500,Sweco,Sweco,30,5,201464,182964,18500,Bergvarme er lønnsom
Markalleen 26B,2023,76500,Sweco,Sweco,40,5,262791,211204,51587,Bergvarme er lønnsom
Markalleen 26B,2023,76500,Sweco,Sweco,40,5,262791,211204,51587,Bergvarme er lønnsom
Markalleen 26B,2023,76500,Sweco,Sweco,50,5,292479,234346,58133,Bergvarme er lønnsom
Markalleen 26B,2023,76500,Sweco,Sweco,50,5,292479,234346,58133,Bergvarme er lønnsom
Markalleen 26B,2023,76500,Sweco,Sweco,60,5,315592,250272,65320,Bergvarme er lønnsom
Markalleen 26B,2023,76500,Sweco,Sweco,30,6,154497,150141,4356,Bergvarme er lønnsom
Markalleen 26B,2023,76500,Sweco,Sweco,60,5,315592,250272,65320,Bergvarme er lønnsom
Markalleen 26B,2023,76500,Sweco,Sweco,40,6,198903,170191,28712,Bergvarme er lønnsom
Markalleen 26B,2023,76500,Sweco,Sweco,30,6,154497,150141,4356,Bergvarme er lønnsom
Markalleen 26B,2023,76500,Sweco,Sweco,50,6,218250,185573,32677,Bergvarme er lønnsom
Markalleen 26B,2023,76500,Sweco,Sweco,40,6,198903,170191,28712,Bergvarme er lønnsom
Markalleen 26B,2023,76500,Sweco,Sweco,60,6,232096,195114,36982,Bergvarme er lønnsom
Markalleen 26B,2023,76500,Sweco,Sweco,50,6,218250,185573,32677,Bergvarme er lønnsom
Markalleen 26B,2024,76500,Sweco,Sweco,30,4,117969,128909,-10940,Luft-vann-varmepumpe er lønnsom
Markalleen 26B,2023,76500,Sweco,Sweco,60,6,232096,195114,36982,Bergvarme er lønnsom
Markalleen 26B,2024,76500,Sweco,Sweco,40,4,180866,154008,26858,Bergvarme er lønnsom
Markalleen 26B,2024,76500,Sweco,Sweco,30,4,117969,128909,-10940,Luft-vann-varmepumpe er lønnsom
Markalleen 26B,2024,76500,Sweco,Sweco,50,4,211682,178992,32690,Bergvarme er lønnsom
Markalleen 26B,2024,76500,Sweco,Sweco,40,4,180866,154008,26858,Bergvarme er lønnsom
Markalleen 26B,2024,76500,Sweco,Sweco,60,4,240387,198972,41415,Bergvarme er lønnsom
Markalleen 26B,2024,76500,Sweco,Sweco,50,4,211682,178992,32690,Bergvarme er lønnsom
Markalleen 26B,2024,76500,Sweco,Sweco,30,5,77882,100196,-22314,Luft-vann-varmepumpe er lønnsom
Markalleen 26B,2024,76500,Sweco,Sweco,60,4,240387,198972,41415,Bergvarme er lønnsom
Markalleen 26B,2024,76500,Sweco,Sweco,40,5,123250,117756,5494,Bergvarme er lønnsom
Markalleen 26B,2024,76500,Sweco,Sweco,30,5,77882,100196,-22314,Luft-vann-varmepumpe er lønnsom
Markalleen 26B,2024,76500,Sweco,Sweco,50,5,143140,134342,8798,Bergvarme er lønnsom
