År,Produsert energi,Investering grunnvarme,Investering luft-vann,Diskonteringsrente,Energikostnad grunnvarme,Energikostnad luft-vann,Energikostnad direkte elektrisk,Kostnad grunnvarme,Kostnad luft-vann,Kostnad direkte elektrisk,Kostnad grunnvarme (diskontert),Kostnad luft-vann (diskontert),Kostnad direkte elektrisk (diskontert),LCOE grunnvarme,LCOE luft-vann,LCOE_direkte_el,Grunnvarme vs. luft-vann (40 år),Grunnvarme vs. direkte elektrisk (40 år)
0.0,0.0,505753.0,401315.0,1.0,0.0,0.0,0.0,505753.0,401315.0,0.0,505753.0,401315.0,0.0,1.74,1.94,1.75,102827,7354
1.0,25519.0,0.0,0.0,0.9615384615384615,13087.0,18809.0,44735.0,13087.0,18809.0,43014.42307692307,12583.653846153846,18085.576923076922,43014.42307692307,1.74,1.94,1.75,102827,7354
2.0,25519.0,0.0,0.0,0.9245562130177514,13087.0,18809.0,44735.0,13087.0,18809.0,41360.02218934911,12099.667159763312,17389.977810650886,41360.02218934911,1.74,1.94,1.75,102827,7354
3.0,25519.0,0.0,0.0,0.8889963586709149,13087.0,18809.0,44735.0,13087.0,18809.0,39769.25210514338,11634.295345926263,16721.132510241237,39769.25210514338,1.74,1.94,1.75,102827,7354
4.0,25519.0,0.0,0.0,0.8548041910297257,13087.0,18809.0,44735.0,13087.0,18809.0,38239.66548571478,11186.82244800602,16078.01202907811,38239.66548571478,1.74,1.94,1.75,102827,7354
5.0,25519.0,0.0,0.0,0.8219271067593517,13087.0,18809.0,44735.0,13087.0,18809.0,36768.909120879594,10756.560046159635,15459.626951036646,36768.909120879594,1.74,1.94,1.75,102827,7354
6.0,25519.0,0.0,0.0,0.7903145257301457,13087.0,18809.0,44735.0,13087.0,18809.0,35354.72030853807,10342.846198230416,14865.02591445831,35354.72030853807,1.74,1.94,1.75,102827,7354
7.0,25519.0,0.0,0.0,0.7599178132020633,13087.0,18809.0,44735.0,13087.0,18809.0,33994.923373594305,9945.044421375402,14293.294148517609,33994.923373594305,1.74,1.94,1.75,102827,7354
8.0,25519.0,0.0,0.0,0.7306902050019839,13087.0,18809.0,44735.0,13087.0,18809.0,32687.42632076375,9562.542712860963,13743.552065882315,32687.42632076375,1.74,1.94,1.75,102827,7354
9.0,25519.0,0.0,0.0,0.7025867355788306,13087.0,18809.0,44735.0,13087.0,18809.0,31430.217616118985,9194.752608520155,13214.953909502225,31430.217616118985,1.74,1.94,1.75,102827,7354
10.0,25519.0,0.0,0.0,0.6755641688257986,13087.0,18809.0,44735.0,13087.0,18809.0,30221.3630924221,8841.108277423227,12706.686451444446,30221.3630924221,1.74,1.94,1.75,102827,7354
11.0,25519.0,0.0,0.0,0.6495809315632679,13087.0,18809.0,44735.0,13087.0,18809.0,29059.00297348279,8501.065651368486,12217.967741773506,29059.00297348279,1.74,1.94,1.75,102827,7354
12.0,25519.0,0.0,0.0,0.6245970495800652,13087.0,18809.0,44735.0,13087.0,18809.0,27941.34901296422,8174.101587854314,11748.045905551448,27941.34901296422,1.74,1.94,1.75,102827,7354
