,Utetemperatur (grader),"Turtemperatur, varmesystem (grader)",Tappevannsbehov (kWh),Romoppvarmingsbehov (kWh),Kjølebehov (kWh),"Grunnvarme, kompressor (kWh)","Grunnvarme, fra brønner (kWh)","Grunnvarme, spisslast (kWh)","Grunnvarme, COP","Luft-vann, kompressor (kWh)","Luft-vann, fra luft (kWh)","Luft-vann, spisslast (kWh)","Luft-vann, COP","Direkte elektrisk, strømkostnad (kr)","Grunnvarme, strømkostnad (kr)","Luft-vann, strømkostnad (kr)",Brønntemperatur år 12 - 13 (grader),Spotpris (kr)
0,-2,40.666666666666664,0.319,6.38,0.0,1.689063726254517,5.009936273745483,0.0,3.9666080124861827,2.5745014933239636,4.124498506676036,0.0,2.752,12.66285174,3.6179576399999998,4.866477192770556,2.6563972926134314,1.56936
1,-2,40.666666666666664,0.0,5.423,0.0,1.357906138550966,4.065093861449034,0.0,3.9941341782685797,2.0841202565003516,3.3388797434996484,0.0,2.752,9.5027229,2.715063685714286,3.652003925465566,3.034626853600107,1.4314
2,-2,40.666666666666664,0.0,6.38,0.0,1.6032017444065572,4.776798255593443,0.0,3.9800368023378847,2.4519061841180605,3.9280938158819394,0.0,2.752,10.6392242,3.039778342857143,4.088774233573436,2.8409239982286802,1.34669
3,-3,41.0,0.0,6.061,0.0,1.5300092688882225,4.530990731111777,0.0,3.9619026829096016,2.3293108749121574,3.7316891250878426,0.0,2.677028571428571,9.30775648,2.659358994285715,3.5770761243851017,2.950760866750338,1.21478
4,-3,41.0,0.0,6.061,0.0,1.5292457938773198,4.53175420612268,0.0,3.9638801255845113,2.3293108749121574,3.7316891250878426,0.0,2.677028571428571,8.534433490000001,2.4384095685714295,3.2798793498550602,2.978189987843481,1.08719
5,-2,40.666666666666664,0.0,6.061,0.0,1.5187168840724414,4.5422831159275585,0.0,3.9913639510579397,2.3293108749121574,3.7316891250878426,0.0,2.752,8.288962989999998,2.3682751400000006,3.1855422594211174,2.9965646688618146,1.04669
6,-2,40.666666666666664,0.0,6.699,0.0,1.6831506030344343,5.0158493969655655,0.0,3.980541659907781,2.5745014933239636,4.124498506676036,0.0,2.752,8.991397800000001,2.5689707999999998,3.4554959043394247,2.847863255625182,1.0213
7,-1,40.333333333333336,0.319,6.38,0.0,1.6722445215825292,5.026755478417471,0.0,4.006506856185768,2.5745014933239636,4.124498506676036,0.0,2.8269714285714285,7.9887584700000005,2.2825024199999997,3.0701702658336263,2.8466160331880284,0.87163
8,-1,40.333333333333336,0.638,6.38,0.0,1.7544909737182026,5.263509026281797,0.0,4.000540606305421,2.697096802529866,4.320903197470134,0.0,2.8269714285714285,9.71859658,2.776741879999999,3.7349666231113834,2.765404570191923,1.06391
9,-1,40.333333333333336,0.957,7.656,0.0,2.1700849534802202,6.442915046519779,0.0,3.969511126499273,3.3100733485593814,5.302926651440618,0.0,2.8269714285714285,13.38193197,3.8234091342857144,5.142827860923226,2.343051373378555,1.23279
10,-2,40.666666666666664,1.276,7.337,0.0,2.18545110456167,6.4275488954383295,0.0,3.9415961651978035,3.3100733485593814,5.302926651440618,0.0,2.752,14.77766862,4.222191034285714,5.679225247057273,2.3127308659533408,1.39484
