År,Produsert energi,Investering grunnvarme,Investering luft-vann,Diskonteringsrente,Energikostnad grunnvarme,Energikostnad luft-vann,Energikostnad direkte elektrisk,Kostnad grunnvarme,Kostnad luft-vann,Kostnad direkte elektrisk,Kostnad grunnvarme (diskontert),Kostnad luft-vann (diskontert),Kostnad direkte elektrisk (diskontert),LCOE grunnvarme,LCOE luft-vann,LCOE_direkte_el,Grunnvarme vs. luft-vann (40 år),Grunnvarme vs. direkte elektrisk (40 år)
0.0,0.0,486832.0,388520.0,1.0,0.0,0.0,0.0,486832.0,388520.0,0.0,486832.0,388520.0,0.0,1.79,2.01,1.76,103572,-14829
1.0,23687.0,0.0,0.0,0.9615384615384615,12184.0,17677.0,41682.0,12184.0,17677.0,40078.84615384615,11715.384615384615,16997.115384615383,40078.84615384615,1.79,2.01,1.76,103572,-14829
2.0,23687.0,0.0,0.0,0.9245562130177514,12184.0,17677.0,41682.0,12184.0,17677.0,38537.35207100591,11264.792899408283,16343.380177514791,38537.35207100591,1.79,2.01,1.76,103572,-14829
3.0,23687.0,0.0,0.0,0.8889963586709149,12184.0,17677.0,41682.0,12184.0,17677.0,37055.146222121075,10831.531634046427,15714.788632225762,37055.146222121075,1.79,2.01,1.76,103572,-14829
4.0,23687.0,0.0,0.0,0.8548041910297257,12184.0,17677.0,41682.0,12184.0,17677.0,35629.94829050103,10414.934263506178,15110.37368483246,35629.94829050103,1.79,2.01,1.76,103572,-14829
5.0,23687.0,0.0,0.0,0.8219271067593517,12184.0,17677.0,41682.0,12184.0,17677.0,34259.56566394329,10014.35986875594,14529.20546618506,34259.56566394329,1.79,2.01,1.76,103572,-14829
6.0,23687.0,0.0,0.0,0.7903145257301457,12184.0,17677.0,41682.0,12184.0,17677.0,32941.89006148394,9629.192181496095,13970.389871331785,32941.89006148394,1.79,2.01,1.76,103572,-14829
7.0,23687.0,0.0,0.0,0.7599178132020633,12184.0,17677.0,41682.0,12184.0,17677.0,31674.8942898884,9258.838636053939,13433.067183972873,31674.8942898884,1.79,2.01,1.76,103572,-14829
8.0,23687.0,0.0,0.0,0.7306902050019839,12184.0,17677.0,41682.0,12184.0,17677.0,30456.629124892694,8902.729457744172,12916.41075382007,30456.629124892694,1.79,2.01,1.76,103572,-14829
9.0,23687.0,0.0,0.0,0.7025867355788306,12184.0,17677.0,41682.0,12184.0,17677.0,29285.220312396814,8560.316786292471,12419.625724826989,29285.220312396814,1.79,2.01,1.76,103572,-14829
10.0,23687.0,0.0,0.0,0.6755641688257986,12184.0,17677.0,41682.0,12184.0,17677.0,28158.865684996937,8231.07383297353,11941.947812333643,28158.865684996937,1.79,2.01,1.76,103572,-14829
11.0,23687.0,0.0,0.0,0.6495809315632679,12184.0,17677.0,41682.0,12184.0,17677.0,27075.83238942013,7914.494070166857,11482.642127243887,27075.83238942013,1.79,2.01,1.76,103572,-14829
12.0,23687.0,0.0,0.0,0.6245970495800652,12184.0,17677.0,41682.0,12184.0,17677.0,26034.45422059628,7610.090452083515,11041.002045426812,26034.45422059628,1.79,2.01,1.76,103572,-14829
13.0,23687.0,0.0,0.0,0.6005740861346781,12184.0,17677.0,41682.0,12184.0,17677.0,25033.129058265655,7317.394665464918,10616.348120602705,25033.129058265655,1.79,2.01,1.76,103572,-14829
14.0,23687.0,0.0,0.0,0.5774750828218058,12184.0,17677.0,41682.0,12184.0,17677.0,24070.31640217851,7035.956409100882,10208.02703904106,24070.31640217851,1.79,2.01,1.76,103572,-14829
15.0,23687.0,0.0,231600.0,0.5552645027132749,12184.0,17677.0,41682.0,12184.0,249277.0,23144.535002094723,6765.342701058541,138414.66944285703,23144.535002094723,1.79,2.01,1.76,103572,-14829
16.0,23687.0,0.0,0.0,0.5339081756858411,12184.0,17677.0,41682.0,12184.0,17677.0,22254.36057893723,6505.137212556288,9437.894821598615,22254.36057893723,1.79,2.01,1.76,103572,-14829
17.0,23687.0,0.0,0.0,0.5133732458517704,12184.0,17677.0,41682.0,12184.0,17677.0,21398.42363359349,6254.93962745797,9074.898866921745,21398.42363359349,1.79,2.01,1.76,103572,-14829
18.0,23687.0,0.0,0.0,0.4936281210113176,12184.0,17677.0,41682.0,12184.0,17677.0,20575.40733999374,6014.365026401893,8725.86429511706,20575.40733999374,1.79,2.01,1.76,103572,-14829
19.0,23687.0,0.0,0.0,0.47464242404934387,12184.0,17677.0,41682.0,12184.0,17677.0,19784.04551922475,5783.043294617206,8390.254129920251,19784.04551922475,1.79,2.01,1.76,103572,-14829
