År,Produsert energi,Investering grunnvarme,Investering luft-vann,Diskonteringsrente,Energikostnad grunnvarme,Energikostnad luft-vann,Energikostnad direkte elektrisk,Kostnad grunnvarme,Kostnad luft-vann,Kostnad direkte elektrisk,Kostnad grunnvarme (diskontert),Kostnad luft-vann (diskontert),Kostnad direkte elektrisk (diskontert),LCOE grunnvarme,LCOE luft-vann,LCOE_direkte_el,Grunnvarme vs. luft-vann (40 år),Grunnvarme vs. direkte elektrisk (40 år)
0.0,0.0,347425.0,264043.0,1.0,0.0,0.0,0.0,347425.0,264043.0,0.0,347425.0,264043.0,0.0,1.34,1.86,1.74,288501,223886
1.0,28198.0,0.0,0.0,0.9615384615384615,14533.0,27327.0,49153.0,14533.0,27327.0,47262.49999999999,13974.038461538461,26275.961538461535,47262.49999999999,1.34,1.86,1.74,288501,223886
2.0,28198.0,0.0,0.0,0.9245562130177514,14533.0,27327.0,49153.0,14533.0,27327.0,45444.71153846153,13436.57544378698,25265.34763313609,45444.71153846153,1.34,1.86,1.74,288501,223886
3.0,28198.0,0.0,0.0,0.8889963586709149,14533.0,27327.0,49153.0,14533.0,27327.0,43696.83801775148,12919.784080564406,24293.60349340009,43696.83801775148,1.34,1.86,1.74,288501,223886
4.0,28198.0,0.0,0.0,0.8548041910297257,14533.0,27327.0,49153.0,14533.0,27327.0,42016.19040168411,12422.869308235004,23359.234128269316,42016.19040168411,1.34,1.86,1.74,288501,223886
5.0,28198.0,0.0,0.0,0.8219271067593517,14533.0,27327.0,49153.0,14533.0,27327.0,40400.18307854241,11945.066642533657,22460.802046412802,40400.18307854241,1.34,1.86,1.74,288501,223886
6.0,28198.0,0.0,0.0,0.7903145257301457,14533.0,27327.0,49153.0,14533.0,27327.0,38846.32988321385,11485.641002436209,21596.925044627693,38846.32988321385,1.34,1.86,1.74,288501,223886
7.0,28198.0,0.0,0.0,0.7599178132020633,14533.0,27327.0,49153.0,14533.0,27327.0,37352.24027232102,11043.885579265587,20766.274081372783,37352.24027232102,1.34,1.86,1.74,288501,223886
8.0,28198.0,0.0,0.0,0.7306902050019839,14533.0,27327.0,49153.0,14533.0,27327.0,35915.61564646252,10619.120749293832,19967.571232089213,35915.61564646252,1.34,1.86,1.74,288501,223886
9.0,28198.0,0.0,0.0,0.7025867355788306,14533.0,27327.0,49153.0,14533.0,27327.0,34534.24581390626,10210.693028167145,19199.587723162702,34534.24581390626,1.34,1.86,1.74,288501,223886
10.0,28198.0,0.0,0.0,0.6755641688257986,14533.0,27327.0,49153.0,14533.0,27327.0,33206.00559029448,9817.974065545332,18461.1420415026,33206.00559029448,1.34,1.86,1.74,288501,223886
11.0,28198.0,0.0,0.0,0.6495809315632679,14533.0,27327.0,49153.0,14533.0,27327.0,31928.851529129308,9440.359678408973,17751.098116829424,31928.851529129308,1.34,1.86,1.74,288501,223886
12.0,28198.0,0.0,0.0,0.6245970495800652,14533.0,27327.0,49153.0,14533.0,27327.0,30700.818778008947,9077.268921547087,17068.36357387444,30700.818778008947,1.34,1.86,1.74,288501,223886
13.0,28198.0,0.0,0.0,0.6005740861346781,14533.0,27327.0,49153.0,14533.0,27327.0,29520.018055777833,8728.143193795277,16411.888051802347,29520.018055777833,1.34,1.86,1.74,288501,223886
14.0,28198.0,0.0,0.0,0.5774750828218058,14533.0,27327.0,49153.0,14533.0,27327.0,28384.63274594022,8392.445378649303,15780.661588271487,28384.63274594022,1.34,1.86,1.74,288501,223886
15.0,28198.0,0.0,264043.0,0.5552645027132749,14533.0,27327.0,49153.0,14533.0,291370.0,27292.9161018656,8069.659017932024,161787.4181555669,27292.9161018656,1.34,1.86,1.74,288501,223886
16.0,28198.0,0.0,0.0,0.5339081756858411,14533.0,27327.0,49153.0,14533.0,27327.0,26243.18855948615,7759.287517242329,14590.10871696698,26243.18855948615,1.34,1.86,1.74,288501,223886
17.0,28198.0,0.0,0.0,0.5133732458517704,14533.0,27327.0,49153.0,14533.0,27327.0,25233.83515335207,7460.853381963779,14028.950689391328,25233.83515335207,1.34,1.86,1.74,288501,223886
18.0,28198.0,0.0,0.0,0.4936281210113176,14533.0,27327.0,49153.0,14533.0,27327.0,24263.303032069292,7173.897482657479,13489.375662876275,24263.303032069292,1.34,1.86,1.74,288501,223886
19.0,28198.0,0.0,0.0,0.47464242404934387,14533.0,27327.0,49153.0,14533.0,27327.0,23330.0990692974,6897.9783487091145,12970.55352199642,23330.0990692974,1.34,1.86,1.74,288501,223886
20.0,28198.0,233800.0,0.0,0.45638694620129217,14533.0,27327.0,49153.0,248333.0,27327.0,22432.787566632112,113335.93951100549,12471.686078842711,22432.787566632112,1.34,1.86,1.74,288501,223886
21.0,28198.0,0.0,0.0,0.43883360211662703,14533.0,27327.0,49153.0,14533.0,27327.0,21569.98804483857,6377.56873956094,11992.005845041067,21569.98804483857,1.34,1.86,1.74,288501,223886
22.0,28198.0,0.0,0.0,0.42195538665060295,14533.0,27327.0,49153.0,14533.0,27327.0,20740.373120037086,6132.277634193213,11530.774851001026,20740.373120037086,1.34,1.86,1.74,288501,223886
23.0,28198.0,0.0,0.0,0.4057263333178874,14533.0,27327.0,49153.0,14533.0,27327.0,19942.666461574117,5896.420802108857,11087.283510577909,19942.666461574117,1.34,1.86,1.74,288501,223886
24.0,28198.0,0.0,0.0,0.3901214743441225,14533.0,27327.0,49153.0,14533.0,27327.0,19175.64082843665,5669.635386643132,10660.849529401836,19175.64082843665,1.34,1.86,1.74,288501,223886
25.0,28198.0,0.0,0.0,0.37511680225396393,14533.0,27327.0,49153.0,14533.0,27327.0,18438.11618118909,5451.572487156858,10250.816855194073,18438.11618118909,1.34,1.86,1.74,288501,223886
26.0,28198.0,0.0,0.0,0.3606892329365038,14533.0,27327.0,49153.0,14533.0,27327.0,17728.95786652797,5241.896622266209,9856.55466845584,17728.95786652797,1.34,1.86,1.74,288501,223886
27.0,28198.0,0.0,0.0,0.3468165701312536,14533.0,27327.0,49153.0,14533.0,27327.0,17047.07487166151,5040.285213717509,9477.456411976767,17047.07487166151,1.34,1.86,1.74,288501,223886
28.0,28198.0,0.0,0.0,0.3334774712800515,14533.0,27327.0,49153.0,14533.0,27327.0,16391.41814582837,4846.428090112989,9112.938857669968,16391.41814582837,1.34,1.86,1.74,288501,223886
29.0,28198.0,0.0,0.0,0.32065141469235725,14533.0,27327.0,49153.0,14533.0,27327.0,15760.978986373437,4660.027009724028,8762.441209298047,15760.978986373437,1.34,1.86,1.74,288501,223886
30.0,28198.0,0.0,264043.0,0.3083186679734204,14533.0,27327.0,49153.0,14533.0,291370.0,15154.787486897532,4480.795201657718,89834.8102874155,15154.787486897532,1.34,1.86,1.74,288501,223886
31.0,28198.0,0.0,0.0,0.2964602576667504,14533.0,27327.0,49153.0,14533.0,27327.0,14571.911045093782,4308.456924670883,8101.369461259288,14571.911045093782,1.34,1.86,1.74,288501,223886
32.0,28198.0,0.0,0.0,0.28505794006418306,14533.0,27327.0,49153.0,14533.0,27327.0,14011.45292797479,4142.747042952772,7789.778328133931,14011.45292797479,1.34,1.86,1.74,288501,223886
33.0,28198.0,0.0,0.0,0.27409417313863754,14533.0,27327.0,49153.0,14533.0,27327.0,13472.55089228345,3983.4106182238193,7490.171469359548,13472.55089228345,1.34,1.86,1.74,288501,223886
34.0,28198.0,0.0,0.0,0.2635520895563822,14533.0,27327.0,49153.0,14533.0,27327.0,12954.375857964855,3830.202517522903,7202.087951307257,12954.375857964855,1.34,1.86,1.74,288501,223886
